2129,3751,6
2793,7016,9
334,4078,4
1933,3331,5
2608,7165,9
1671,8661,4
1475,5519,13
1136,3699,13
2983,768,13
1069,4506,8
11,9382,4
193,6580,5
1031,5430,6
685,6979,10
2633,9867,3
1559,1766,12
2268,6377,13
1413,1617,6
437,3317,11
1752,1634,7
526,3831,9
195,9354,13
38,4116,11
701,5370,8
2461,5056,13
968,2847,9
2050,5356,1
1414,1774,13
483,460,3
1247,4537,7
1671,2626,2
1945,2376,1
2422,1137,8
1964,6679,5
2726,2566,9
976,7107,6
2411,1601,8
794,8534,5
415,9906,13
1303,5772,6
1293,520,6
2010,2266,6
742,3652,6
2288,3547,6
2714,7508,1
2377,8943,3
1845,4388,11
2891,2256,8
2707,6703,9
1980,2957,2
959,2680,9
568,5623,4
476,2601,1
270,8224,9
574,1178,7
104,9698,3
1270,8310,12
1043,7638,8
101,7347,4
1058,547,8
81,5628,10
164,1752,3
60,6408,1
1344,5611,5
115,1963,4
952,2998,13
1804,8937,4
905,5503,8
2917,2240,2
99,3610,2
625,6941,2
2298,3487,3
1908,6726,11
2170,2925,7
650,3005,7
1948,5135,13
2883,9533,9
513,8458,6
536,3544,7
2882,2597,2
2598,3033,4
2246,8728,10
2887,9420,9
1500,3259,10
814,7255,1
1320,9259,4
2657,6793,3
2441,9893,4
499,7079,7
1776,7068,6
1558,9773,1
1347,6684,2
489,2930,11
1104,1907,7
2779,9549,12
2650,2697,5
2198,8372,2
1853,2122,11
1114,9101,9
2374,460,1
1413,6685,5
2115,942,1
1528,5400,12
1387,3672,7
2224,3105,7
2778,6578,1
2617,2951,11
983,5377,13
1657,8487,12
233,1,12
2828,839,12
2409,2677,7
723,3243,8
1257,8617,7
1858,28,11
1261,5175,7
2667,3755,10
2233,9043,11
782,9981,8
478,4335,4
1113,3418,13
2439,9814,12
2459,373,1
153,8053,6
2869,4335,3
444,6297,11
446,9634,9
2432,1023,12
424,6087,9
2826,5889,4
2454,4002,3
297,532,13
475,8726,5
1487,127,6
1180,8543,8
228,7380,8
1908,5530,3
2302,4509,13
1925,1856,2
2924,7883,13
1605,5088,10
2493,162,5
1057,238,5
1110,9453,9
906,5335,7
2930,1421,7
2763,3115,11
2417,5949,7
2955,4854,5
1290,2536,3
2112,2658,13
1226,4205,2
2775,3657,10
454,9314,6
715,9143,7
2781,3688,13
2695,2100,3
1103,9071,3
2244,7439,13
611,2923,1
2120,2542,7
142,4160,9
2285,832,11
384,8368,6
548,3842,5
1244,9795,2
1336,4490,10
2671,505,10
831,80,8
1212,6090,10
568,2104,7
969,4191,3
2563,266,3
2957,3795,12
1661,8284,4
342,8928,1
2758,4778,4
586,6860,11
434,6978,3
278,1741,1
2486,3072,2
2653,593,4
1802,411,8
1178,8605,8
2647,3709,5
1934,8186,12
1287,8823,12
1268,7159,7
2393,7497,3
262,8093,5
1721,4123,9
1668,3298,4
282,8646,11
1142,833,10
1080,3248,4
1782,2239,9
2842,6852,5
1196,3908,6
5,4978,5
721,2374,10
2301,5589,9
2480,3415,3
532,3990,2
78,5860,11
1319,8666,6
318,1915,3
511,2130,13
1615,7913,10
718,5501,1
1538,1530,4
1657,8199,3
2050,9809,7
979,5562,11
363,6103,3
2218,7927,5
2054,8839,10
2316,6912,3
2237,1991,8
2307,5848,10
951,9019,10
2112,2531,8
2533,2887,8
340,572,6
1235,671,4
890,2592,11
2889,3416,12
2705,3342,1
1347,1041,6
2993,5031,10
817,91,3
1258,9782,3
220,8282,5
127,12,1
679,4063,10
478,3453,2
2789,9924,4
1871,8584,4
2327,3614,7
103,6932,8
1862,2586,9
18,4776,8
1126,1505,13
730,1258,8
147,9214,4
1838,4122,7
1126,8220,5
1334,6871,12
2148,811,7
1889,3065,8
389,4639,13
2193,3346,2
1978,6267,6
2733,6180,7
204,5354,3
1695,8511,10
2087,4835,7
1324,267,8
1054,8644,2
1120,6827,12
223,1701,3
2213,4155,1
2641,6906,10
2704,8953,2
1618,6763,11
794,7894,3
1570,9714,9
815,7545,9
335,135,9
2344,1469,6
983,8469,4
1025,8654,1
1260,3319,2
94,3122,13
497,9738,11
338,1325,4
1572,7299,12
284,2561,13
1790,5201,3
1337,5446,10
460,655,1
1567,8977,4
1621,4359,4
1418,1006,8
535,1855,5
906,3229,1
1481,8610,8
1950,5792,11
1561,8817,5
2079,404,1
2556,246,9
442,5478,1
2725,568,13
1470,2403,4
2722,2268,11
1854,505,12
316,5264,1
885,2671,3
1377,5905,7
1144,2880,2
2613,6872,12
1,4429,13
1592,900,4
936,6236,13
2781,327,5
1309,5515,13
390,2511,1
2656,6733,3
884,8807,7
536,8839,12
2350,5668,2
2568,7073,1
2872,2644,8
177,1778,5
2297,9027,3
1005,2725,10
2722,1828,11
1891,4285,4
2458,5974,1
710,5510,1
1521,1987,1
734,6877,11
882,8417,10
2660,2121,6
1701,1383,9
426,3162,10
1500,51,2
1696,7037,3
1080,4855,1
2371,4302,1
801,3671,2
209,2501,9
2521,3841,3
61,3149,4
542,7682,7
579,3328,7
2352,3621,4
2297,7872,11
2326,4705,10
2001,6109,5
1116,2302,2
1936,1961,6
1781,504,8
374,7556,10
1494,7022,3
624,8862,6
146,4818,4
1013,4324,2
36,6992,7
408,9460,5
1154,7529,3
1978,2809,11
1769,8482,3
1176,8266,6
527,84,13
1243,664,6
2587,3846,3
413,208,12
1051,6425,12
118,3663,8
2250,7588,11
2039,8531,10
1379,6859,6
541,7262,5
1661,9835,4
1946,450,12
636,6444,13
680,9837,7
2790,7426,3
962,7429,3
472,2571,10
1682,7108,13
2409,110,5
1986,3123,7
926,2754,9
2074,4959,7
846,7098,5
1386,7909,4
1171,9701,3
1159,2845,7
2288,5370,11
2153,7543,8
1554,3611,1
878,7503,10
1377,721,12
2312,7664,2
2907,7928,9
1647,7379,8
448,4426,8
1316,3929,7
2800,9819,9
1468,5420,12
1091,4088,11
2668,459,8
131,8369,13
2517,5732,1
177,2784,10
2658,1218,3
1977,4862,4
2540,9781,10
1126,5037,9
590,3651,1
1250,3903,10
2921,6945,5
1936,3542,3
1245,3241,13
2095,3794,7
2725,6379,4
2423,143,7
1557,6047,10
1312,6848,10
760,861,9
2284,6351,11
93,1150,13
992,2692,12
1318,9117,11
1283,641,1
1910,669,2
2872,2642,5
1821,7389,7
2262,8973,10
2511,4840,13
1444,1976,1
1101,8910,2
2267,166,10
1425,916,8
1628,7580,5
2434,825,11
2251,9502,13
1022,8809,2
2670,4224,7
1616,1285,1
757,6238,5
2534,1289,13
763,6864,10
2619,8621,12
2524,134,10
55,6265,9
824,6350,10
1127,4944,6
1536,518,11
1144,6578,1
801,7954,5
723,1385,7
877,1000,8
2091,2338,2
1965,1961,12
1899,4311,11
872,8129,8
703,6057,12
1776,9319,4
2188,1526,6
2271,2898,10
170,5456,2
1273,7570,11
154,3770,7
445,4737,3
1370,6433,13
260,5892,11
1716,6112,10
2550,1691,13
2625,1299,2
2861,3850,6
2411,1657,5
372,9019,11
60,1221,2
994,6908,5
2168,2107,5
1459,2343,3
1079,7095,2
819,2992,5
796,4668,13
1635,6239,13
2356,1467,9
2930,5275,13
2160,427,5
2004,1976,12
2480,2655,9
320,2234,13
1744,5239,11
1934,5457,6
1765,2134,4
2132,2629,11
194,1746,5
1410,1903,7
2381,5690,8
1462,1433,12
842,1479,1
2336,7240,1
2130,9239,13
1923,3956,5
1000,8268,6
2853,2527,13
1327,6939,8
1990,2729,5
136,3410,13
2378,918,9
2978,2414,4
12,624,6
2844,5432,2
1783,8604,11
1588,115,9
2171,5784,10
1934,5890,11
456,2220,13
2282,7419,10
855,3647,8
2628,7833,11
1623,8273,12
1203,533,2
1715,4456,7
2334,3170,6
1254,971,4
593,5093,6
2803,2851,1
2931,4207,11
1664,7080,13
2092,5800,3
1467,6455,2
42,7571,5
352,9454,10
1514,9385,11
516,9554,2
1274,8130,5
226,7642,6
2766,4904,4
1312,2805,2
192,9848,6
2369,6087,6
264,3770,9
1791,2234,8
1646,5464,6
2654,236,8
1450,2098,2
955,4306,6
1426,3990,6
2376,9442,12
2369,8525,3
1723,350,2
2539,1575,8
1192,5301,11
2509,8682,8
681,592,4
538,7251,2
930,2639,3
2127,2007,9
1474,8711,4
1252,5545,8
2355,747,6
519,2898,12
1498,3660,7
2503,8810,7
2117,5381,7
727,8556,8
2563,1593,10
384,3245,8
813,1071,12
797,3004,7
1269,6902,4
840,3328,9
237,5118,4
1547,5739,5
823,4396,5
1008,618,9
1065,4797,4
722,9395,8
158,2778,3
1384,1154,11
2817,8322,8
214,2279,7
2851,1172,2
1660,4920,7
1668,9326,5
1151,9359,6
616,7194,11
534,979,10
727,4364,13
2779,6966,9
1331,4948,9
2191,7842,10
1828,3873,10
1872,9867,6
1150,5902,8
819,8077,6
42,4304,4
2445,8442,10
1462,5417,5
642,2906,4
2430,4198,13
1887,9821,2
1294,6489,2
408,4227,5
2117,7539,12
2587,9602,11
459,9110,4
1349,3002,6
1216,8490,13
75,7527,5
2654,3684,11
2326,9408,13
564,5212,3
1258,4584,4
806,8271,11
2896,676,10
57,3958,4
2912,8693,7
1243,756,4
1068,9596,10
1369,9685,13
1808,9280,2
2854,4965,4
2989,2228,7
56,1890,7
893,9602,9
1475,4220,4
2695,9638,9
42,8180,11
419,7058,11
1654,5023,7
2339,2693,1
1600,8797,9
1987,9312,3
2237,9824,4
1878,6810,3
225,6819,7
2190,5402,10
2002,8374,1
2708,9176,5
2345,5433,7
844,7752,4
1922,9883,5
764,3427,7
2318,2097,2
1252,7425,4
1089,3398,9
1808,31,12
1283,6055,12
128,8047,11
1626,8684,7
1270,6355,6
471,2011,6
2782,2672,3
2130,4400,13
1970,8165,9
1534,4897,4
2941,906,10
657,2559,8
1727,3989,4
1117,616,10
2197,1055,1
2936,5059,11
2514,6567,4
1419,9251,5
1844,768,8
2886,7028,5
1428,4133,3
43,123,4
1573,4021,9
1567,6881,13
1013,7197,4
2982,2252,4
2057,2524,1
2895,5981,9
2477,607,4
1120,6118,3
1993,2254,9
1554,6956,3
1816,7066,11
2537,1264,6
2568,8027,5
1865,7517,2
1871,460,1
2423,2855,8
2197,9852,6
1379,2788,9
596,5575,5
2837,2326,8
2162,3818,12
1417,1287,6
307,3768,8
1190,8632,3
362,2516,3
1025,1240,7
1576,9022,12
2,2790,5
2822,7155,8
584,6994,4
2687,6508,13
747,3202,3
656,1068,1
670,4688,2
2792,6643,12
985,8359,7
2172,1417,1
2968,2021,8
1996,6414,10
1219,2788,2
1749,5742,10
2016,9064,2
1767,4893,4
1278,7504,4
2172,6052,4
1127,136,8
814,7873,10
1221,6351,3
396,2302,3
2924,7640,11
1832,7718,5
2051,5588,9
738,1633,2
2451,8976,6
1425,682,10
2881,3152,2
2511,8277,8
805,4096,9
2806,8429,2
1218,1120,4
2070,5112,6
959,3589,11
2351,7860,11
2626,147,6
2983,2943,12
1950,9552,1
2667,3748,12
802,8363,6
1812,9774,11
2406,3744,6
1973,949,4
2521,6353,13
531,4051,7
1922,7124,2
936,4404,11
2592,9687,3
222,9090,11
1896,2467,4
