1,9
2,13
3,3
4,5
5,6
6,11
7,12
8,12
9,13
10,4
11,9
12,4
13,8
14,8
15,7
16,7
17,12
18,1
19,11
20,6
21,13
22,5
23,9
24,6
25,9
26,4
27,6
28,11
29,7
30,7
31,3
32,11
33,1
34,8
35,13
36,7
37,11
38,6
39,11
40,6
41,13
42,3
43,8
44,1
45,6
46,1
47,5
48,9
49,9
50,12
51,5
52,3
53,13
54,7
55,7
56,1
57,7
58,12
59,5
60,11
61,9
62,7
63,4
64,9
65,13
66,8
67,1
68,4
69,11
70,3
71,13
72,8
73,11
74,1
75,7
76,4
77,7
78,1
79,7
80,3
81,8
82,3
83,4
84,3
85,11
86,5
87,7
88,5
89,11
90,1
91,13
92,5
93,4
94,13
95,6
96,13
97,4
98,9
99,7
100,12
101,8
102,5
103,4
104,1
105,12
106,11
107,13
108,13
109,6
110,7
111,8
112,5
113,9
114,6
115,7
116,4
117,4
118,13
119,6
120,9
121,9
122,9
123,8
124,7
125,9
126,9
127,12
128,11
129,11
130,8
131,4
132,8
133,8
134,6
135,5
136,12
137,3
138,7
139,4
140,6
141,7
142,11
143,7
144,1
145,4
146,13
147,3
148,4
149,8
150,3
151,1
152,13
153,4
154,4
155,9
156,5
157,9
158,13
159,3
160,5
161,6
162,8
163,12
164,7
165,13
166,7
167,1
168,6
169,9
170,11
171,13
172,5
173,1
174,6
175,7
176,13
177,8
178,3
179,6
180,8
181,1
182,7
183,11
184,4
185,5
186,5
187,1
188,4
189,13
190,12
191,9
192,7
193,12
194,7
195,8
196,11
197,9
198,13
199,13
200,12
201,5
202,9
203,8
204,1
205,9
206,3
207,8
208,13
209,3
210,5
211,12
212,13
213,1
214,8
215,8
216,13
217,5
218,13
219,8
220,6
221,11
222,9
223,4
224,6
225,11
226,8
227,5
228,5
229,12
230,5
231,13
232,1
233,3
234,13
235,5
236,8
237,8
238,7
239,6
240,3
241,9
242,9
243,5
244,4
245,5
246,1
247,12
248,4
249,1
250,1
251,9
252,12
253,1
254,12
255,5
256,4
257,11
258,7
259,7
260,7
261,1
262,13
263,13
264,6
265,6
266,1
267,13
268,13
269,5
270,6
271,3
272,8
273,9
274,11
275,5
276,1
277,1
278,12
279,1
280,7
281,13
282,9
283,9
284,9
285,13
286,12
287,3
288,8
289,1
290,3
291,3
292,13
293,7
294,4
295,3
296,11
297,11
298,1
299,6
300,6
301,9
302,4
303,9
304,7
305,3
306,7
307,13
308,6
309,11
310,1
311,8
312,11
313,9
314,13
315,4
316,6
317,1
318,8
319,7
320,4
321,12
322,4
323,9
324,4
325,11
326,9
327,8
328,4
329,11
330,7
331,5
332,6
333,6
334,12
335,1
336,1
337,13
338,6
339,3
340,1
341,8
342,1
343,11
344,4
345,13
346,1
347,11
348,9
